stock,time,prices,shares
BBDA,09:30:12.60,9.0E-4,84000
BGH,09:37:31.05,23.32,9
BGG,09:36:48.63,21.79,18
SHW,09:38:10.83,182.59,100
BGI,09:30:00.08,1.56,250
SHY,09:38:00.90,84.395,2
SCRC,09:34:06.80,0.1201,14000
MSCI,09:37:07.33,43.46,100
BBCZ,09:30:13.40,0.023,2600
BGR,09:38:05.08,24.2,100
BGT,09:37:36.78,13.94,100
HCSG,09:37:35.05,28.34,37
SID,09:37:50.08,6.02,76
BGS,09:37:32.55,33.78,100
SIG,09:37:56.45,79.4,100
PHOEF,09:30:00.60,0.157,200
SIF,09:30:01.38,28.07,10
BGX,09:30:00.13,17.8,7410
BBCN,09:37:50.08,16.55,13
BGY,09:38:02.45,8.11,113
SIM,09:30:00.90,12.26,400
SIL,09:37:13.38,11.41,200
CEFL,09:37:28.03,26.4,5
CVGW,09:36:49.23,30.19,6
BHB,09:36:49.43,40.24,2
SIR,09:36:51.63,26.59,1
MODTQ,09:33:07.60,0.0011,1800
BHE,09:37:49.88,22.89,92
STTK,09:38:12.00,0.065,10000
BSFT,09:36:48.63,27.29,14
BHI,09:38:11.20,55.045,22
MSFG,09:36:49.35,18.03,6
SIX,09:37:53.33,36.98,40
BHK,09:30:09.15,12.87,4249
HTWR,09:38:07.18,93.37,10
BHL,09:33:34.90,13.6,100
STWD,09:37:53.45,27.65,100
SJB,09:30:00.93,29.37,225
BHP,09:38:10.03,67.5,100
MSFT,09:38:10.65,37.289,500
BHV,09:30:03.28,14.32,1
NVIV,09:34:20.80,2.3,1220
SJI,09:36:31.50,55.53,2
SJM,09:38:13.33,103.255,100
FNRC,09:36:12.40,1.0E-4,100
BIB,09:38:06.13,149.16,100
SJR,09:37:54.63,24.25,100
STWS,09:30:14.40,0.1,500
BID,09:38:03.50,52.73,100
FNRG,09:30:00.58,5.94,300
SJT,09:37:25.78,16.63,100
BIF,09:31:30.58,7.99,765
BIE,09:30:00.13,13.33,104
BSET,09:37:24.73,15.45,6
BIG,09:38:07.05,32.33,60
SJW,09:36:49.25,29.88,6
ASWRF,09:38:13.80,0.0139,7688
BIL,09:38:08.05,45.7701,117
BIK,09:38:05.45,23.34,5
KGILF,09:37:19.40,2.5556,60
BIN,09:37:13.08,24.57,100
APDN,09:34:35.03,0.16,302
BIP,09:36:16.70,39.08,100
APNHY,09:30:03.40,26.511,20
BIO,09:38:00.55,122.84,6
BIT,09:38:10.28,17.16,100
BIS,09:34:45.00,20.856,100
BIV,09:37:12.83,81.7501,100
SKF,09:37:37.60,17.5414,1722
SKH,09:35:45.93,4.72,6
SKK,09:30:00.95,10.56,200
SCTY,09:38:06.80,56.35,20
SKM,09:37:50.38,24.24,34
BBEP,09:37:44.68,20.36,100
STVF,09:35:23.40,0.42,10000
MSEX,09:36:21.03,20.85,48
SKT,09:36:51.63,31.9,2
MSHF,09:30:09.20,2.0,200
SKX,09:37:56.03,33.19,100
RSTAY,09:33:00.20,20.4,23
BJK,09:35:50.70,53.01,60
BCAUY,09:30:02.43,79.49,10
FNSR,09:38:06.75,23.43,52
SLB,09:38:13.13,89.46,100
SLA,09:30:00.88,9.26,2400
SLF,09:38:08.43,35.07,100
DNFGY,09:30:10.20,76.79,38
APEI,09:36:48.63,43.43,9
SLH,09:37:24.78,70.14,100
SLG,09:38:08.30,92.01,11
BSHF,09:30:21.80,0.03,800
SLI,09:30:00.90,27.0,250
PKPL,09:34:49.00,0.22,166
EUDSF,09:30:01.60,5.889,15
BJZ,09:33:36.20,15.76,1000
SLM,09:38:13.33,26.14,200
SLP,09:30:00.30,5.03,23
QNST,09:36:49.35,8.75,12
BKD,09:37:53.33,26.96,80
AIG.WS,09:37:03.50,20.02,502
SLV,09:38:13.95,19.33,200
BKF,09:38:11.70,37.09,100
BKE,09:38:07.05,52.81,100
BKH,09:36:48.83,52.02,97
SLX,09:37:00.60,49.2,50
SLW,09:38:10.28,20.68,200
BKJ,09:30:00.08,13.44,400
SCVL,09:38:06.68,29.0,100
WPCS,09:38:13.75,2.65,100
SLY,09:37:49.08,102.139,100
BKK,09:38:10.58,15.68,400
CVLT,09:38:12.50,74.26,83
BKN,09:35:58.55,14.26,100
SMA,09:38:00.58,10.01,14
SMB,09:36:26.93,17.576,400
BKT,09:38:00.65,6.47,900
BKS,09:38:11.93,14.92,100
SMG,09:38:00.45,62.44,20
SMF,09:30:09.33,27.93,450
BKU,09:37:31.38,32.91,100
SMI,09:36:56.75,3.97,500
SMH,09:38:13.65,41.92,300
BKW,09:35:32.65,22.75,100
TYIDY,09:35:43.40,45.44,635
PKOH,09:38:08.13,51.52,44
APFC,09:36:49.28,37.3,3
SMM,09:37:13.35,23.51,100
SMN,09:36:12.48,34.318,476
SMP,09:38:13.13,36.56,200
BLE,09:38:01.23,13.15,100
SMT,09:30:44.68,2.21,37
STXS,09:37:40.75,3.65,200
DYNT,09:30:00.65,4.19,800
MBFI,09:37:29.68,31.92,1
BBGI,09:37:16.78,9.2,2
BLH,09:35:20.05,15.22,100
NVMI,09:38:06.70,9.95,100
BLK,09:37:52.65,314.295,24
BLJ,09:36:31.95,13.3,126
CELH,09:30:08.00,0.3899,1150
CELG,09:38:13.15,169.439,100
BLL,09:37:47.15,51.3125,100
SCYL,09:34:06.80,1.9,100
SNA,09:37:56.70,109.25,100
BLT,09:36:48.63,14.41,27
SNE,09:38:03.85,17.31,300
SNH,09:37:57.93,22.17,100
BLW,09:34:43.50,17.17,100
BLV,09:30:53.20,81.54,20
BSJK,09:30:31.43,25.73,3
BSJJ,09:30:09.73,25.89,200
BLX,09:36:33.03,27.54,69
SNI,09:38:01.18,85.91,100
ZHNE,09:38:10.00,5.2,800
BSJI,09:35:07.50,26.94,100
VMCS,09:32:06.60,0.0038,500
APGI,09:31:23.60,0.715,43
BSJH,09:36:59.15,27.0814,900
MBII,09:36:49.63,17.9,2
BSJG,09:37:52.85,27.02,100
BSJF,09:37:15.20,26.79,100
SNN,09:37:05.20,70.89,100
BSJE,09:35:09.85,26.6686,100
SNP,09:37:24.28,80.83,100
BMA,09:37:25.40,24.39,100
TKPYY,09:30:03.00,23.05,150
SNV,09:38:13.43,3.595,100
BME,09:30:00.08,35.17,1078
MBIS,09:33:28.03,3.1,100
SNX,09:37:15.55,66.76,84
SNY,09:38:08.75,51.76,100
BMI,09:37:57.15,54.24,8
VMBS,09:32:14.83,51.1199,40
CEMI,09:35:06.68,3.3699,500
BMO,09:38:06.05,66.55,100
BMR,09:37:50.70,18.06,100
BMS,09:37:42.80,40.83,100
BMY,09:38:12.60,52.87,100
NVLX,09:35:14.80,0.107,4670
SOL,09:37:57.85,3.44,100
SON,09:38:02.55,41.5,3
BNA,09:37:42.45,9.72,100
SOQ,09:32:06.38,0.56,1
SOR,09:34:28.70,66.89,2
APHB,09:30:19.20,0.5,3
ALAWP,09:31:12.60,26.25,4
BND,09:37:59.38,80.07,2
KMDA,09:36:18.70,15.1,100
C.WS.B,09:37:30.43,0.0611,25000
BNJ,09:38:03.25,13.16,100
C.WS.A,09:37:10.78,0.675,2300
BNO,09:35:45.00,43.24,100
SPB,09:37:58.75,70.54,100
SPA,09:36:49.35,27.81,4
BNS,09:38:07.85,62.65,100
MSLI,09:37:34.23,1.45,100
SPF,09:38:12.43,8.96,100
SPE,09:30:09.10,17.22,300
NENE,09:37:21.80,2.48,100
SPH,09:37:49.18,46.551,37
SPG,09:38:00.70,152.67,100
BNY,09:37:51.50,12.44,100
KMKGF,09:30:04.00,0.5304,1000
DYSL,09:37:52.80,1.16,100
MSLP,09:30:32.60,8.29,982
CVOL,09:30:01.25,3.38,30
SPN,09:38:12.13,26.35,100
SPR,09:38:04.40,33.79,100
BBT.PR.G,09:36:23.88,18.82,87
BOE,09:38:02.45,14.88,63
BBT.PR.F,09:36:49.70,18.8,200
SPU,09:32:13.05,1.7401,400
BOH,09:36:49.53,58.51,55
CEMP,09:37:24.73,12.41,2
SPW,09:37:54.30,99.54,100
SPY,09:38:13.98,183.6699,1000
BOI,09:32:29.15,16.48,30
BBT.PR.E,09:32:46.25,20.33,70
BBT.PR.D,09:36:32.55,21.38,50
BSMX,09:38:09.30,13.45,100
LPHI,09:30:00.15,1.75,130
BOS,09:30:01.20,15.5,10
SQI,09:36:48.63,28.4,13
NVCIF,09:32:09.80,3.98,500
SQM,09:37:49.05,25.6475,100
CENX,09:37:38.98,10.4,100
CENT,09:30:00.28,6.88,103
VMEM,09:37:53.40,3.9,100
YELP,09:38:13.78,68.7,9
BPI,09:36:35.43,17.5,3
