stock,time,prices,shares
HFBC,09:30:00.35,11.46,200
NXTD,09:32:49.80,4.0,3
DSM,09:36:00.95,7.39,100
MM,09:38:00.70,7.41,100
MN,09:37:27.03,17.73,7
MO,09:38:14.03,38.21,100
DST,09:38:06.55,90.41,100
DSS,09:37:50.00,2.04,100
MR,09:38:04.50,35.935,400
HWAY,09:38:12.40,15.5,100
MS,09:38:12.00,31.24,100
MT,09:38:09.70,17.61,100
DSU,09:38:12.18,4.0,100
MU,09:38:13.00,21.3899,10
DSX,09:38:13.65,12.8535,200
AAMC,09:36:57.55,905.27,5
DSW,09:36:31.70,42.81,95
MW,09:36:49.28,51.51,3
MX,09:35:26.53,19.44,11981
LAKE,09:30:00.43,5.3,200
TIBX,09:38:13.70,22.48,100
MY,09:38:05.90,2.4712,1000
UUP,09:38:06.38,21.6532,2500
TICC,09:38:11.40,10.29,43
DTE,09:38:10.95,65.81,300
DTD,09:35:27.58,66.85,700
NC,09:36:49.53,62.85,1
DTF,09:37:20.65,14.06,100
NE,09:38:00.85,37.12,100
DTH,09:30:01.23,46.8,330
NG,09:37:17.33,2.628,100
MDNT,09:37:24.40,0.023,10000
DTK,09:30:00.85,25.97,4
HWBK,09:31:35.08,12.74,10
ARNA,09:38:09.13,5.8,100
WRLD,09:36:48.60,88.09,5
NI,09:37:50.75,32.64,1
NJ,09:37:31.95,24.42,100
NL,09:36:49.65,11.22,2
DTO,09:38:13.48,36.8,100
NM,09:38:08.15,10.76,100
DTN,09:36:37.73,68.52,300
GTAT,09:38:13.60,8.59,100
NP,09:37:43.95,42.24,100
NQ,09:38:11.15,14.9,100
NR,09:37:52.35,12.14,85
DTT,09:35:54.18,24.78,930
NS,09:36:32.28,51.01,100
UVE,09:38:12.38,14.0634,900
DTV,09:38:11.90,68.9838,100
AROW,09:37:50.25,26.74,6
UVG,09:30:00.73,60.79,1
NU,09:38:13.90,41.98,3
LAND,09:30:10.23,16.17,400
LANC,09:37:08.03,88.09,10
NX,09:37:50.10,19.795,70
DTZ,09:35:25.85,24.25,89
NY,09:30:00.75,84.39,2
DUA,09:35:00.65,24.24,1
BURL,09:36:48.70,31.9,8
MUSA,09:38:12.35,41.364,100
UVT,09:35:47.05,56.819,100
DUC,09:38:01.58,10.01,100
OB,09:36:59.53,15.8,100
OC,09:37:55.88,40.6,100
UVV,09:38:04.73,53.9,6
DUG,09:38:02.93,49.951,500
VOLC,09:38:00.53,21.74,18
OI,09:37:52.90,35.48,100
DUK,09:38:12.75,68.9,100
UWC,09:30:00.93,82.02,15
AAON,09:37:54.53,31.78,100
AAOI,09:36:49.68,15.0,1
NXTM,09:38:00.55,9.91,20
UWM,09:38:13.60,83.8699,100
BKKLY,09:30:14.40,25.75,100
GTAA,09:34:16.95,24.58,17
UWN,09:30:00.95,1.37,2201
DVA,09:38:06.75,63.55,100
ULGX,09:37:35.60,0.18,1000
PB,09:37:42.95,62.79,100
ARPI,09:37:34.28,17.05,3400
PF,09:37:22.48,27.593,127
PG,09:38:13.65,80.7801,500
PH,09:38:13.03,128.05,100
LAMR,09:37:30.08,52.0,9
DVM,09:30:00.48,14.57,1
BUSE,09:36:49.28,5.76,26
PL,09:37:56.38,50.29,100
DVN,09:38:09.78,61.2,100
WLCDF,09:30:14.00,0.22,100
PM,09:38:12.53,86.67,100
KOLD,09:35:26.15,67.6809,125
DVR,09:38:14.03,1.96,200
PQ,09:37:06.03,4.25,100
AAPL,09:38:12.90,555.09,100
NGVC,09:36:49.25,42.1,4
PT,09:37:03.03,4.22,300
DVY,09:38:06.10,70.914,100
UXJ,09:30:00.53,38.38,500
AAPH,09:35:26.80,0.0138,25000
RCAP,09:36:49.65,18.4,1
BDSI,09:38:13.50,5.8,100
UXI,09:35:53.08,103.33,50
PX,09:38:04.08,129.6,100
DWA,09:37:59.05,35.33,100
ARQL,09:36:49.48,2.19,32
SFEG,09:37:46.40,0.079,10000
SWFT,09:38:04.58,21.62,90
MDSO,09:38:00.28,58.99,100
VONE,09:36:48.85,84.76,290
VONG,09:35:02.23,87.84,77
CUBE.PR.A,09:35:27.83,24.82,100
DWM,09:35:12.58,53.445,142
PEYUF,09:31:42.20,30.75,200
UYG,09:37:09.88,117.01,21
DWX,09:37:57.58,46.9699,59
ARRY,09:37:13.83,4.9736,200
UYM,09:37:45.58,48.42,125
VOLT,09:31:32.80,0.0874,5974
GCAP,09:37:56.73,7.435,100
DIISY,09:33:37.80,16.26,100
ARRS,09:38:08.08,24.1,100
STBFY,09:36:11.60,16.5,132
DXB,09:34:55.05,24.82,98
DXD,09:38:09.73,27.67,100
RE,09:37:47.50,153.71,100
KONA,09:35:51.60,18.913,100
RF,09:38:13.18,9.86,100
SWET,09:31:06.80,0.0073,1000
RH,09:38:13.03,67.39,100
DXJ,09:38:13.45,50.3,100
DXM,09:36:49.60,6.74,5
MDRX,09:38:03.18,15.43,100
RL,09:37:25.35,176.89,54
RM,09:36:49.38,34.02,3
GCBC,09:37:58.43,26.4,18
UZA,09:35:56.95,22.71,100
KONG,09:35:59.35,7.26,500
RP,09:36:48.53,23.28,24
KOPN,09:36:49.40,4.19,23
RS,09:38:04.00,75.39,3
RT,09:38:02.08,6.9,100
RTEC,09:36:49.25,11.66,14
RY,09:38:06.53,67.18,100
VOOV,09:36:26.10,81.77,112
LARK,09:30:00.35,19.68,15
SA,09:36:29.80,7.53,47
SB,09:37:45.58,9.93,100
SD,09:38:12.15,6.0,1000
CWYCF,09:30:21.20,0.96,110
SE,09:38:12.00,35.41,100
SF,09:37:22.40,47.15,100
SH,09:38:11.03,25.3586,314
SI,09:38:05.63,136.112,130
DYN,09:37:57.55,21.25,5
SM,09:38:12.38,82.57,100
SN,09:38:10.50,24.1,100
SO,09:38:10.38,40.89,100
ARSD,09:36:49.28,12.48,11
SP,09:36:49.25,26.07,7
SR,09:30:26.33,6.75,1
ST,09:37:51.08,38.45,300
SU,09:38:06.30,34.7,100
KOOL,09:31:55.93,1.03,250
IIIN,09:36:52.13,22.41,100
AASL,09:37:04.20,0.2,200
VONV,09:34:55.18,82.05,24
ARTW,09:30:00.28,6.02,100
ARTX,09:38:06.48,3.36,100
XDSL,09:34:43.00,0.0016,1221264
TA,09:37:59.53,9.6024,975
TC,09:38:06.28,2.22,100
TD,09:38:06.48,93.26,100
TE,09:38:14.05,17.16,200
ARTR,09:30:13.20,4.0E-4,50000
TG,09:38:06.78,28.68,13
DZK,09:37:41.43,71.4201,1100
UBSFY,09:34:53.60,2.77,100
TI,09:38:06.55,9.63,100
NUSMF,09:30:05.60,0.235,400
TK,09:37:06.05,47.42,100
SWHC,09:38:10.88,13.58,100
VOOG,09:37:04.18,88.0,50
TM,09:37:21.08,121.08,100
ITMSF,09:36:05.23,0.395,26500
ARTH,09:38:10.80,0.3485,2900
IIJI,09:30:00.35,13.39,200
ARTC,09:38:00.55,39.96,9
TR,09:37:21.90,32.35,89
TS,09:38:10.25,43.37,100
TU,09:37:48.43,34.36,100
TV,09:38:13.55,29.99,300
TW,09:38:07.28,124.911,25
LATF,09:37:54.20,3.0E-4,100
KORU,09:36:53.93,50.08,25
TX,09:30:40.35,31.39,15
DZZ,09:37:55.00,7.4597,500
TY,09:30:02.00,19.89,100
KORS,09:38:09.60,81.644,100
TILE,09:37:58.13,22.08,100
UA,09:38:02.63,87.65,250
LATM,09:30:00.70,18.6,261
KORZ,09:37:07.00,26.1201,35
HWKN,09:38:13.55,37.11,5
UG,09:33:41.75,27.8,51
ARUN,09:38:08.58,17.765,100
GTHP,09:31:42.80,0.479,1000
UL,09:38:06.43,40.33,156
ENBP,09:37:20.00,29.85,200
UN,09:38:06.20,39.48,62
TILT,09:36:26.08,80.0,300
ICLDW,09:36:33.80,11.09,100
GCEI,09:37:36.60,0.0156,50000
SWIR,09:37:43.50,24.2,300
MDVN,09:37:20.55,63.76,100
VB,09:38:13.03,109.32,100
VC,09:38:02.75,81.94,103
VE,09:37:45.48,15.85,500
VG,09:37:20.80,3.31,100
WASH,09:37:05.63,36.98,100
CIOXY,09:35:22.60,27.3785,62
IILG,09:38:07.50,30.78,400
VO,09:38:08.88,109.41,1
VR,09:37:54.60,39.96,100
VT,09:38:13.70,58.8003,12
USCRW,09:30:12.80,4.5,4
VV,09:37:59.65,84.38,100
TZOO,09:36:49.38,21.41,4
MDYG,09:36:45.38,111.25,450
VZ,09:38:13.03,49.06,100
PNCH,09:30:07.20,2.0E-4,220439
WD,09:38:00.08,16.04,7
WF,09:35:13.00,37.989,40
AAVG,09:32:59.00,6.0E-4,1000000
MDYV,09:30:00.75,79.02,658
WG,09:37:10.50,9.2,100
WH,09:35:31.25,2.71,100
ARWR,09:38:02.83,10.51,1700
DKAM,09:35:15.80,0.0079,30000
ENDO,09:36:49.80,0.0389,15000
ENDP,09:37:52.50,65.94,40
WM,09:38:13.30,44.66,100
RTIX,09:37:00.70,3.53,31
WR,09:38:06.20,32.18,100
WU,09:38:14.03,17.135,100
WX,09:38:14.03,38.02,100
MDXG,09:37:18.98,8.55,100
WY,09:38:08.13,31.38,100
SWKH,09:30:02.40,1.08,40
SWKS,09:38:01.65,27.95,100
WACLY,09:36:10.60,50.79,34
GTIM,09:30:00.45,2.56,307
XL,09:38:09.75,31.73,100
QQEW,09:34:18.05,36.12,700
GTIP,09:30:01.10,49.49,11
VAC,09:38:08.18,52.09,100
GTIV,09:38:13.50,12.18,18
VAL,09:38:13.08,71.26,100
SFLY,09:37:59.90,50.3801,50
VAR,09:38:00.58,77.62,25
SFMI,09:33:30.80,0.002,5000
AAXJ,09:38:00.35,59.02,100
VAW,09:37:43.05,102.92,4
BNCIF,09:30:40.60,0.071,565
GTLS,09:38:06.78,93.83,100
ENFR,09:36:44.90,25.8,200
TIPZ,09:30:00.63,55.11,161
VBF,09:36:00.00,17.76,100
VBK,09:38:05.50,121.45,1
AAWW,09:37:52.50,40.92,40
ULST,09:37:38.13,40.09,100
YY,09:38:14.00,51.5,10
CYBK,09:30:08.60,0.012,50000
WAVX,09:37:23.35,0.8912,100
EAC,09:36:49.60,20.91,2
WPPGY,09:37:43.15,113.46,105
EAB,09:30:00.50,20.01,100
VBR,09:37:52.25,96.7799,67
TINY,09:35:04.55,3.0001,100
ZA,09:36:06.63,1.71,100
EAE,09:30:00.28,19.15,238
EAD,09:38:02.48,9.23,22
ZF,09:37:57.28,14.8,100
LAWS,09:30:00.35,12.21,600
ZN,09:30:00.23,1.42,3091
RCII,09:36:48.05,33.32,19
VCF,09:30:00.95,12.3,305
EAT,09:38:01.38,46.11,100
ZU,09:37:45.50,41.74,100
CYAN,09:30:00.40,4.95,500
VCI,09:38:14.03,34.08,100
ZX,09:36:42.18,2.6,500
VCO,09:30:01.85,37.3,15
VCR,09:37:28.23,107.94,1000
EBF,09:37:46.60,17.37,14
VCV,09:37:20.25,11.42,100
CYCC,09:36:45.85,4.02,1200
NYCB,09:38:05.50,16.74,100
SFOR,09:37:34.60,1.0E-4,100
VOXX,09:38:01.75,16.382,100
CYBX,09:36:47.98,64.95,14
ULUR,09:33:33.80,0.7,33
HZUVF,09:31:28.20,12.295,80
EBR,09:38:02.85,2.4,500
VDC,09:38:00.63,109.5499,1
VDE,09:37:24.95,125.5,80
EBS,09:38:01.83,23.1399,42
AUNFF,09:30:12.80,0.5529,9000
ECA,09:38:11.43,17.92,100
ULTA,09:38:09.60,96.6,10
ENGA,09:34:27.80,2.6194,360
CYNAF,09:37:34.20,0.7097,1000
HUWHY,09:36:31.00,27.02,3
LAYN,09:36:26.15,16.95,6
ECF,09:30:00.23,8.14,152
ULTI,09:38:02.95,153.91,100
ECH,09:37:56.25,46.951,100
PNFP,09:37:25.90,32.39,19
RCKE,09:30:10.80,0.0025,133510
RCKB,09:38:06.28,14.16,14
SFNC,09:36:49.20,37.14,6
ECL,09:38:06.45,103.87,100
ULTR,09:37:07.28,3.7,12
VEA,09:38:06.05,41.15,100
ECT,09:37:50.00,7.73,100
WAYN,09:30:00.75,10.89,300
CWGYF,09:30:18.40,0.05,4000
RCKY,09:35:11.95,14.56,72
RBS.PR.L,09:32:15.18,19.5,100
RBS.PR.I,09:30:00.85,21.15,302
EDD,09:36:59.40,12.99,100
VET,09:32:09.00,58.84,63
RBS.PR.P,09:32:21.78,20.42,750
EDC,09:38:13.48,26.66,100
EDF,09:37:05.45,18.37,100
RBS.PR.N,09:38:06.18,20.61,51
VEU,09:38:06.03,50.02,100
EDE,09:38:06.80,22.57,100
RBS.PR.M,09:33:27.55,20.7815,300
TITN,09:36:54.98,17.58,100
CHCR,09:30:15.80,0.059,10500
PNC.WS,09:34:12.80,17.48,100
EDI,09:32:52.35,19.06,2714
RBS.PR.H,09:32:31.85,23.87,2468
RBS.PR.G,09:35:40.33,20.787,100
EDN,09:34:58.43,5.21,100
CHCO,09:36:48.68,46.41,6
RBS.PR.F,09:30:03.15,24.87,2
RBS.PR.E,09:35:40.30,20.3,200
VFC,09:38:13.00,63.22,100
EDR,09:37:48.03,8.78,100
DKGR,09:30:01.00,2.0E-4,1000
CHCI,09:37:41.13,2.04,100
EDT,09:35:44.23,25.65,800
EDS,09:30:00.40,1.65,1312
EDV,09:30:01.30,88.59,762
EDU,09:38:06.30,30.99,200
RBS.PR.T,09:35:00.93,24.05,3
VFH,09:37:40.63,44.3001,81
RBS.PR.S,09:38:06.08,21.45,100
EDZ,09:38:13.10,42.71,100
RBS.PR.R,09:30:50.55,19.7201,3
RBS.PR.Q,09:35:01.10,21.62,1
VFL,09:30:01.38,11.64,1
SWSH,09:37:21.20,0.5477,100
EEA,09:30:00.28,8.89,501
EEB,09:37:20.58,34.15,6
TISA,09:38:06.63,5.95,200
CHDX,09:37:50.68,17.54,7
BEAV,09:38:06.63,86.67,20
EEI,09:35:07.13,10.9999,589
BEAT,09:37:47.65,7.92,300
VOYA,09:38:06.13,34.93,100
SFPI,09:30:02.40,0.014,4000
EEM,09:38:13.48,40.81,1700
TISI,09:36:48.58,42.16,4
EEQ,09:36:12.43,28.59,200
BEAM,09:38:12.50,67.42,100
ENIP,09:38:02.80,0.7,3800
CHDN,09:36:48.03,89.6,8
EEP,09:37:30.00,29.6925,110
EES,09:37:57.45,81.05,300
EET,09:37:29.25,72.24,147
EEV,09:38:13.05,21.07,100
VGI,09:30:13.33,16.82,19
VGK,09:38:12.85,57.8,43
SWRI,09:30:14.20,0.008,2000
VGM,09:36:32.00,12.18,1
RCMT,09:30:41.25,6.93,400
SWRF,09:30:14.20,0.0029,20000
VGR,09:35:36.48,16.33,100
EFA,09:38:12.83,66.18,100
VGT,09:37:09.23,88.93,405
EFC,09:37:34.83,22.779,400
EFF,09:30:01.83,18.06,53
EFG,09:34:34.90,70.54,900
VGZ,09:37:15.80,0.419,5000
TIVO,09:38:08.23,13.129,200
CHEV,09:30:00.68,10.23,1
EPGRQ,09:30:07.80,0.0011,1500
OSGIQ,09:30:39.00,7.7,100
EFM,09:32:25.50,24.98,110
EFO,09:30:01.40,109.71,1035
VHC,09:36:48.58,19.31,23
EFR,09:37:37.03,14.99,100
EFT,09:37:18.00,15.18,200
SFST,09:30:00.63,13.25,300
RCPT,09:37:30.85,29.53,200
EFV,09:30:09.80,56.3,148
EFU,09:30:32.63,42.83,100
VHI,09:33:37.65,17.12,100
EFX,09:38:06.55,68.7,100
EFZ,09:30:01.30,33.67,90
CHEF,09:36:48.70,29.19,9
BEBE,09:37:21.03,5.29,43
KHOLY,09:37:02.60,19.8,19
CPTCQ,09:30:12.60,5.0E-4,4000
SKHSY,09:36:11.03,13.84,102
VHT,09:37:48.88,100.6301,65
EGF,09:30:00.28,13.93,200
EGI,09:30:46.83,0.3098,1
GLAXF,09:32:43.60,26.254,15
EGL,09:36:49.20,33.56,6
ASBB,09:30:00.63,17.25,300
EGO,09:38:08.70,5.89,200
EGN,09:38:02.08,69.13,100
ASBC,09:37:25.98,17.3,100
ANIMF,09:31:00.00,0.12,100
MEAS,09:37:47.00,60.15,8
EGP,09:37:50.60,57.52,100
VIA,09:37:32.08,87.23,118
CHLKF,09:30:12.00,10.4499,50
USCXW,09:30:13.80,3.0,4
BECN,09:36:47.93,40.09,27
IIVI,09:38:09.10,17.51,100
CHFN,09:36:49.40,10.82,8
EGT,09:30:00.70,1.22,100
VIG,09:38:06.78,74.95,49
EGY,09:38:04.40,6.72,100
RCON,09:30:00.50,3.1,1000
VIP,09:37:57.65,12.81,200
CHFC,09:37:57.05,31.26,56
SFRX,09:37:13.60,0.0155,50000
VIS,09:37:51.28,99.46,21
VIV,09:38:10.65,18.57,100
EBR.B,09:38:06.85,4.12,300
LSCC,09:37:06.33,5.43,100
MEDL,09:30:22.20,0.24,1263
ABAX,09:37:00.85,39.95,100
EHI,09:37:46.03,12.24,100
TIXC,09:38:10.00,1.0,100
LSCG,09:30:00.20,0.31,20
WSBF,09:36:49.63,11.1,3
GAPWP,09:30:13.80,99.55,1
ABAT,09:30:15.40,0.33,100
SFUN,09:38:07.18,81.5,35
LBAS,09:30:02.60,0.12,1000
ASCC,09:32:15.80,0.0761,11000
OIBR.C,09:33:14.85,1.5,100
CHGS,09:37:39.45,0.2099,100
PEB.PR.B,09:37:01.80,24.9,13
QQQE,09:37:25.50,53.85,100
QQQC,09:30:00.80,22.1,200
WSCE,09:30:11.00,7.0E-4,491775
DGEAF,09:30:33.00,32.79,73
CHGG,09:37:17.80,8.55,100
WBAI,09:38:10.73,37.45,1794
EIA,09:30:00.23,10.66,2137
ENOC,09:36:31.78,16.975,100
ENMD,09:38:06.55,1.6999,4997
EIG,09:38:06.55,31.51,4
CHC.WS,09:37:51.33,0.01,500
EIM,09:37:36.28,11.26,114
GTSO,09:30:09.20,0.018,50
EIO,09:30:00.28,11.05,165
ABBV,09:38:13.33,51.9535,400
NPSNY,09:37:51.43,104.17,23
LSBI,09:30:00.25,28.68,22
EIP,09:30:00.28,11.56,933
BEES,09:30:00.60,0.25,100
EIS,09:30:01.30,48.11,175
SWVI,09:32:23.60,0.011,250
MEDA,09:30:11.60,0.32,500
WSFSL,09:30:00.15,25.9,150
EIV,09:36:47.33,10.99,100
LSBK,09:30:00.68,12.25,100
WSBC,09:38:06.00,31.66,86
VKI,09:37:39.58,10.48,100
EIX,09:38:09.68,46.08,100
LBAI,09:36:49.30,12.37,12
VKQ,09:36:33.05,11.55,100
BNEFF,09:30:11.40,51.1687,96
NCMGY,09:36:48.40,7.4525,400
ENPH,09:36:49.58,6.39,8
ASEI,09:37:54.43,71.97,4
CHIX,09:37:18.40,13.052,400
ASEA,09:31:11.00,15.27,100
CHIQ,09:36:10.65,15.769,13
ABCO,09:37:19.68,62.5701,70
EFLVF,09:35:07.00,0.807,1000
VLO,09:38:12.63,50.08,200
ARFXF,09:30:12.40,0.2944,1000
VLP,09:38:08.70,34.02,2000
ABCD,09:30:00.58,1.7,1000
ABCE,09:30:13.80,0.56,100
ABCB,09:36:49.20,20.98,9
VLU,09:30:00.68,79.5,1
CHIE,09:30:01.20,15.01,200
WBCO,09:36:49.43,17.73,5
VLT,09:30:11.00,16.01,268
CHKE,09:30:00.70,13.72,20
PNNT,09:35:21.80,11.5,300
QQQX,09:37:29.53,17.79,54
VLY,09:38:06.78,10.095,100
MEET,09:37:32.45,1.79,100
HFWA,09:37:33.58,17.16,8
ASFI,09:35:47.13,8.4,7
VMC,09:38:09.20,59.06,100
MJGCF,09:30:11.60,0.077,1000
CYLC,09:35:11.00,0.005,15400
VMI,09:37:44.45,148.78,15
VMM,09:36:39.55,12.29,100
VMO,09:37:12.28,11.71,100
ELB,09:30:03.73,23.85,1
ELA,09:30:00.63,24.1,800
ELD,09:37:46.75,45.59,100
VMW,09:38:08.88,88.84,100
WSFS,09:37:09.18,77.89,4
ELJ,09:35:53.00,21.43,1900
CHLC,09:30:01.23,26.06,35
XVIX,09:30:00.85,17.6,200
ASGN,09:38:05.33,34.7,100
KFN.PR,09:33:44.10,24.09,100
ELP,09:38:11.05,12.75,200
PNRA,09:38:01.45,176.495,100
ENRT,09:36:06.40,0.06,20000
ABEV,09:38:12.20,7.24,100
TSYHY,09:30:23.20,9.63,52
ELS,09:37:52.60,36.08,100
ELX,09:36:49.18,7.12,30
NYMX,09:35:25.20,5.8001,1000
CHKR,09:38:13.80,10.6799,50
ELY,09:36:31.50,8.39,154
VNM,09:37:57.35,18.65,100
CHKP,09:38:08.28,64.32,100
SDSDF,09:30:34.80,0.245,1550
PNRG,09:30:00.43,50.5,4
NYMT,09:36:48.70,6.99,100
VNO,09:38:08.68,88.705,100
WSGI,09:37:29.20,0.0096,9800
NHLD,09:37:50.40,0.57,500
VNQ,09:38:14.03,64.46,200
EMC,09:38:10.90,25.085,100
ASFX,09:30:13.20,1.0E-4,652
VNR,09:37:55.78,29.45,10
MEIP,09:38:03.20,7.96,100
EMB,09:37:30.28,108.28,51
EME,09:36:30.60,42.16,100
ENSG,09:37:15.68,44.11,13
EMD,09:37:51.55,11.84,100
EMF,09:38:02.10,17.26,100
MEIL,09:31:51.98,3.24,100
CHMG,09:36:49.63,34.87,1
CCOZY,09:30:03.20,10.754,273
ABGB,09:30:00.45,14.57,18
ASHR,09:37:37.88,24.3399,69
EMJ,09:34:26.05,11.7,100
EML,09:30:00.75,16.06,200
SFXE,09:38:01.88,11.48,100
EMO,09:37:18.10,23.11,100
EMN,09:38:12.03,80.14,100
NYLD,09:38:02.68,40.05,88
CYNO,09:38:00.55,26.3,7
VOD,09:38:13.38,38.9632,400
FCNCB,09:30:00.40,204.62,50
EMR,09:38:06.15,69.84,1
VOC,09:33:34.70,14.55,309
VOE,09:37:22.90,79.33,10
CYNI,09:38:13.63,5.11,100
ABFS,09:37:32.43,33.33,100
PNQI,09:36:48.83,68.0,100
EMZ,09:37:37.48,23.7,100
FCNCA,09:30:33.23,222.81,1
VOO,09:38:13.00,168.29,200
MVIS,09:33:59.90,1.3201,100
ENB,09:37:57.43,43.68,100
CHLN,09:30:00.73,2.32,20
VOT,09:38:05.45,89.78,2
END,09:37:52.80,5.2,100
WFC.PR.R,09:37:43.60,25.7,100
ENH,09:37:54.00,58.432,100
VOX,09:38:10.60,83.18,37
ENG,09:34:31.08,1.4325,1000
GTXI,09:37:35.33,1.62,100
VPCOD,09:38:11.00,9.25,50
IWDMD,09:35:46.60,0.77,3000
WFC.PR.N,09:32:54.23,20.08,200
ENI,09:37:54.18,14.88,200
WFC.PR.O,09:35:12.65,20.3,200
ENL,09:37:14.78,42.27,100
WFC.PR.P,09:36:09.95,20.241,400
CYOU,09:32:04.40,31.99,1
WFC.PR.Q,09:32:11.68,23.49,131
ABHD,09:31:27.00,0.51,4551
WFC.PR.J,09:36:42.70,27.922,179
WFC.PR.L,09:32:23.08,1108.63,100
ENTR,09:38:06.03,4.67,100
CHNA,09:30:01.23,23.76,50
ENR,09:36:49.35,108.26,1
ENT,09:36:49.23,14.72,13
ENS,09:37:58.45,69.65,100
VPG,09:36:49.48,14.95,5
ENV,09:37:07.10,39.413,100
ENX,09:31:17.10,11.31,100
VPER,09:36:17.60,5.0E-4,38100
ENZ,09:30:00.33,2.94,1105
ENY,09:37:24.03,14.71,36
VPFG,09:37:15.08,27.43,22
VPL,09:38:05.45,60.78,30
CHMT,09:38:07.50,27.63,100
ASIA,09:38:07.45,11.97,100
KUBTY,09:32:05.80,83.33,100
CHMP,09:30:00.20,0.35,500
EOC,09:36:33.20,43.94,29
PNTR,09:35:26.78,12.06,100
VPU,09:36:21.38,82.95,100
EOD,09:38:01.48,7.24,200
EOG,09:38:10.68,165.64,100
VPV,09:35:22.20,12.17,100
EOI,09:37:22.35,12.97,200
CHMI,09:38:12.53,18.0,100
JMBA,09:38:13.80,12.38,201
CYPW,09:35:48.20,0.026,10000
ENSL,09:30:21.00,0.008,200
UMAM,09:32:59.40,0.6,500
CHOC,09:36:13.03,38.93,50
EOS,09:38:02.50,12.98,77
UMAX,09:31:56.00,0.45,1000
EOT,09:35:49.43,18.46,100
ENSV,09:37:58.40,1.801,100
WSGP,09:36:53.40,0.075,1000
EOX,09:36:13.20,7.58,200
ABR.PR.A,09:35:47.05,24.2799,100
NYNY,09:30:00.75,4.88,760
CHNR,09:37:54.88,4.21,100
EPB,09:38:09.75,35.9,198
ENTA,09:38:10.43,27.69,79
EPD,09:38:11.63,65.6801,231
VQT,09:30:01.20,145.65,15
SAN.PR.E,09:36:33.10,26.29,51
UMBF,09:38:10.68,63.71,100
SAN.PR.C,09:36:32.45,24.24,100
ENTG,09:37:50.43,11.42,100
EPI,09:37:51.03,16.9,93
EPL,09:38:04.43,27.76,86
EPM,09:36:51.03,12.34,9
EPP,09:38:07.88,46.49,500
VRA,09:37:39.05,24.19,100
YHOO,09:38:12.40,40.315,300
EPR,09:38:00.55,48.76,61
LBIX,09:35:35.05,3.92,5000
BF.B,09:37:54.85,75.1,100
BF.A,09:34:05.68,74.0,100
MVNR,09:36:49.65,11.2,2
EPS,09:35:42.65,64.3,100
EPV,09:33:07.18,15.57,100
EPU,09:35:30.63,33.42,41
OKSB,09:36:49.33,15.9,7
VRS,09:32:03.70,0.62,2
VPHM,09:38:04.03,49.85,100
CHOP,09:30:00.70,1.23,100
ABIO,09:37:25.43,1.68,100
DNZOY,09:31:42.00,26.25,5
VRX,09:38:06.98,116.115,100
ORSUF,09:31:14.00,0.075,23000
MEMP,09:37:54.98,21.77,4000
EQM,09:33:44.38,58.195,100
EQL,09:37:38.48,50.8001,61
VSB,09:36:49.63,5.28,5
EQS,09:30:03.93,2.49,7
EQR,09:38:14.03,51.99,1
EQU,09:37:24.83,5.33,500
EQT,09:38:13.25,89.1,10
MELA,09:35:49.50,0.65,3000
VSH,09:36:54.33,13.14,200
SHNZY,09:37:27.40,8.03,7
EQY,09:37:04.98,22.299,100
LTS.PR.A,09:30:01.38,23.53,1
VSI,09:38:04.50,52.055,100
MELI,09:38:08.10,106.22,66
VSR,09:37:41.30,4.87,100
ERB,09:38:08.65,2.95,100
ERA,09:37:59.03,30.57,100
VSS,09:36:58.65,102.01,571
ERC,09:37:03.63,14.1,100
DKSC,09:30:50.80,9.0E-4,10000
ERF,09:38:06.28,17.99,100
ERH,09:37:02.60,11.801,2000
QQXT,09:36:41.65,34.67,100
ENVI,09:37:41.10,3.47,42
ERJ,09:37:21.48,32.05,100
UMDD,09:37:02.43,91.711,250
MYBUF,09:30:44.23,11.88,85
VTA,09:38:02.48,12.88,28
ERS,09:30:00.70,3.56,22
VTG,09:36:49.38,1.84,72
ERX,09:38:13.55,87.62,20
VTI,09:38:13.48,95.46,400
ERY,09:38:09.73,20.61,300
ASML,09:38:06.70,92.5701,38
ASMI,09:30:04.20,32.88,29
VTN,09:36:59.78,13.13,100
MSADY,09:37:13.00,13.34,16
ESC,09:37:32.98,21.59,100
MEOH,09:38:08.73,58.98,100
PCRFY,09:36:12.40,11.57,229
VTR,09:38:14.03,56.96,100
ESE,09:36:48.63,34.38,11
ESD,09:37:59.48,17.18,100
VTV,09:38:13.28,75.98,100
ESI,09:38:07.28,33.56,500
LFRGY,09:30:03.80,18.417,15
ESL,09:37:43.78,101.12,60
ESS,09:38:13.53,144.53,100
CYTX,09:37:51.05,2.51,100
ESR,09:36:41.25,26.08,100
ABMD,09:38:12.68,26.55,300
PALAF,09:30:23.40,0.4234,182
MENB,09:30:09.20,0.3,300
VUG,09:38:07.35,92.5201,26
ESV,09:38:06.13,57.02,100
CYTR,09:38:00.10,6.18,2500
VPIG,09:30:10.20,1.01,1000
ETB,09:34:35.23,14.8501,200
CYTK,09:37:39.63,6.49,27
CHRW,09:38:08.60,58.26,100
PALAY,09:30:36.80,4.12,500
ETF,09:30:00.55,13.67,13
ETE,09:38:00.73,81.67,100
ETH,09:36:29.10,30.11,82
NKG.PR.D,09:30:00.58,10.03,625
ETG,09:37:57.58,16.78,87
